,rownames.result_mat..ind...1..,colnames.result_mat..ind...2..,result_mat.lower.tri.result_mat..
293,South_day261_18Sep2013_W.png,col61_day10_14apr2021_W.png,1.26E-34
294,col61_day100_13July2021_W.png,col61_day100_13July2021_E.png,0.305620311
295,col61_day110_23July2021_E.png,col61_day100_13July2021_E.png,0.949471795
296,col61_day110_23July2021_W.png,col61_day100_13July2021_E.png,0.899201799
297,col61_day20_24apr2021_E.png,col61_day100_13July2021_E.png,1.05E-296
298,col61_day20_24apr2021_W.png,col61_day100_13July2021_E.png,1.80E-230
299,col61_day32_6may2021_E.png,col61_day100_13July2021_E.png,4.37E-282
300,col61_day32_6may2021_W.png,col61_day100_13July2021_E.png,1.53E-216
301,col61_day40_14may2021_E.png,col61_day100_13July2021_E.png,5.74E-109
302,col61_day40_14may2021_W.png,col61_day100_13July2021_E.png,1.48E-136
303,col61_day46_20may2021_E.png,col61_day100_13July2021_E.png,5.31E-92
304,col61_day46_20may2021_W.png,col61_day100_13July2021_E.png,4.75E-114
305,col61_day50_24may2021_E.png,col61_day100_13July2021_E.png,4.13E-57
306,col61_day50_24may2021_W.png,col61_day100_13July2021_E.png,3.26E-60
307,col61_day60_03June2021_E.png,col61_day100_13July2021_E.png,4.07E-06
308,col61_day60_03June2021_W.png,col61_day100_13July2021_E.png,8.08E-07
309,col61_day71_14June2021_E.png,col61_day100_13July2021_E.png,6.65E-12
310,col61_day71_14June2021_W.png,col61_day100_13July2021_E.png,2.06E-222
311,col61_day81_24June2021_E.png,col61_day100_13July2021_E.png,2.08E-108
312,col61_day81_24June2021_W.png,col61_day100_13July2021_E.png,1.90E-115
313,col61_day89_02July2021_E.png,col61_day100_13July2021_E.png,1.88E-122
314,col61_day89_02July2021_W.png,col61_day100_13July2021_E.png,1.69E-81
315,col62_day120_02August2021_E.png,col61_day100_13July2021_E.png,2.04E-57
316,col62_day120_02August2021_W.png,col61_day100_13July2021_E.png,3.58E-115
317,col62_day129_11August2021_E.png,col61_day100_13July2021_E.png,3.77E-45
318,col62_day129_11August2021_W.png,col61_day100_13July2021_E.png,7.51E-70
319,col62_day141_23August2021_E.png,col61_day100_13July2021_E.png,6.48E-49
320,col62_day141_23August2021_W.png,col61_day100_13July2021_E.png,1.96E-56
321,col62_day151_02September2021_E.png,col61_day100_13July2021_E.png,2.25E-107
322,col62_day151_02September2021_W.png,col61_day100_13July2021_E.png,7.77E-111
323,col62_day159_10September2021_E.png,col61_day100_13July2021_E.png,5.90E-54
324,col62_day159_10September2021_W.png,col61_day100_13July2021_E.png,7.95E-34
325,col62_day170_21September2021_E.png,col61_day100_13July2021_E.png,1.42E-85
326,col62_day170_21September2021_W.png,col61_day100_13July2021_E.png,3.91E-104
327,col62_day180_01October2021_E.png,col61_day100_13July2021_E.png,6.00E-98
328,col62_day180_01October2021_W.png,col61_day100_13July2021_E.png,1.38E-65
329,col62_day190_11October2021_E.png,col61_day100_13July2021_E.png,6.22E-32
330,col62_day190_11October2021_W.png,col61_day100_13July2021_E.png,3.63E-19
331,col62_day200_21October2021_E.png,col61_day100_13July2021_E.png,1.72E-31
332,col62_day200_21October2021_W.png,col61_day100_13July2021_E.png,1.30E-25
333,col62_day208_29October2021_E.png,col61_day100_13July2021_E.png,1.12E-30
334,col62_day208_29October2021_W.png,col61_day100_13July2021_E.png,3.98E-26
335,col62_day221_11November2021_E.png,col61_day100_13July2021_E.png,1.57E-16
336,col62_day221_11November2021_W.png,col61_day100_13July2021_E.png,2.35E-22
337,col62_day229_19November2021_E.png,col61_day100_13July2021_E.png,8.52E-07
338,col62_day229_19November2021_W.png,col61_day100_13July2021_E.png,1.86E-31
339,col62_day241_01December2021_E.png,col61_day100_13July2021_E.png,3.07E-05
340,col62_day241_01December2021_W.png,col61_day100_13July2021_E.png,5.18E-26
341,col76_day10_14apr2021_E.png,col61_day100_13July2021_E.png,0
342,col76_day10_14apr2021_W.png,col61_day100_13July2021_E.png,0
343,col76_day100_13July2021_E.png,col61_day100_13July2021_E.png,2.83E-27
344,col76_day100_13July2021_W.png,col61_day100_13July2021_E.png,5.31E-31
345,col76_day101_14July2021_E.png,col61_day100_13July2021_E.png,1.23E-36
346,col76_day101_14July2021_W.png,col61_day100_13July2021_E.png,2.59E-54
347,col76_day110_23July2021_E.png,col61_day100_13July2021_E.png,1.30E-31
348,col76_day110_23July2021_W.png,col61_day100_13July2021_E.png,5.42E-54
349,col76_day120_02August2021_E.png,col61_day100_13July2021_E.png,8.90E-72
350,col76_day120_02August2021_W.png,col61_day100_13July2021_E.png,3.60E-117
351,col76_day129_11August2021_E.png,col61_day100_13July2021_E.png,1.37E-50
352,col76_day129_11August2021_W.png,col61_day100_13July2021_E.png,6.56E-77
353,col76_day141_23August2021_E.png,col61_day100_13July2021_E.png,4.41E-42
